UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,RACIAL COMPOSITION
P.161_N.47,JOHOR,P.161,PULAI,N.47,KEMPAS,BN - UMNO,,39273,3947,86.09,33811,74,494,33243,UMNO,DATUK TENGKU PUTRA HARON A. JUMAT,MALE,50.0,18595,,,,,,,,PAS,SUHAIZAN BIN KAIAT,MALE,40.0,14648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P.162_N.48,JOHOR,P.162,GELANG PATAH,N.48,SKUDAI,PR - DAP,,56543,18050,88.34,49948,90,524,49334,MCA,LIANG AH CHY,MALE,62.0,15642,,DAP,DR. BOO CHENG HAU,MALE,49.0,33692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.162_N.49,JOHOR,P.162,GELANG PATAH,N.49,KOTA ISKANDAR,BN - UMNO,,50183,2201,89.91,45120,117,872,44131,UMNO,DR. ZAINI BIN ABU BAKAR,MALE,54.0,23166,,,,,,,,PAS,SALAHUDDIN BIN AYUB,MALE,52.0,20965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed (no race >50%)
P.163_N.50,JOHOR,P.163,KULAI,N.50,BUKIT PERMAI,BN - UMNO,,21619,3369,90.08,19474,44,327,19103,UMNO,ALI MAZAT BIN SALLEH,MALE,42.0,11236,,,,,,,,PAS,MAZLAN BIN ALIMAN,MALE,47.0,7867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P.163_N.51,JOHOR,P.163,KULAI,N.51,BUKIT BATU,PR - PKR,,22262,4015,90.02,20040,33,493,19514,GERAKAN,CHEONG CHIN LIANG,MALE,,7661,,PKR,JIMMY PUAH WEE TSE,MALE,46.0,11676.0,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BIRD,SURENDIRAN,MALE,,177.0,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.163_N.52,JOHOR,P.163,KULAI,N.52,SENAI,PR - DAP,,40110,11227,88.51,35501,50,458,34993,MCA,TANG NAI SOON,MALE,44.0,11883,,DAP,WONG SHU QI,FEMALE,30.0,23110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.164_N.53,JOHOR,P.164,PONTIAN,N.53,BENUT,BN - UMNO,,21463,6572,86.77,18624,34,446,18144,UMNO,DATUK Ir HAJI HASNI BIN HJ MOHAMMAD,MALE,54.0,12358,,,,,,,,PAS,RADEN SAROBO BIN PONOH,MALE,66.0,5786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (80-89%)
P.164_N.54,JOHOR,P.164,PONTIAN,N.54,PULAI SEBATANG,BN - MCA,,28170,3412,85.93,24207,46,465,23696,MCA,DATUK TEE SIEW KIONG,MALE,49.0,13554,,,,,,,,PAS,UNGKU MOHD NOOR BIN UNGKU MAHMOOD,MALE,59.0,10142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (60-69%)
P.165_N.55,JOHOR,P.165,TANJONG PIAI,N.55,PEKAN NANAS,PR - DAP,,32486,2669,88.48,28745,37,505,28203,MCA,WONG YOU FONG,FEMALE,41.0,12767,,DAP,EO TUNG SIONG,MALE,34.0,15436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.165_N.56,JOHOR,P.165,TANJONG PIAI,N.56,KUKUP,BN - UMNO,,19389,6946,87.04,16877,33,426,16418,UMNO,SUHAIMI BIN SALLEH,MALE,45.0,11682,,,,,,,,PAS,HJ. GHAZALEY BIN AYIUB,MALE,46.0,4736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (70-79%)
